Time,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time (ms),Total Average Response Time (ms),Total Min Response Time (ms),Total Max Response Time (ms),Total Average Content Size,%CPU,%MEM,%Failure
18:25:48,0,,Aggregated,0.0,0.0,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,1.5,0.1,
18:25:49,2,,Aggregated,0.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2,0,7.765570000628941,7.711720500083175,7.657870999537408,7.765570000628941,294.0,1.5,0.1,
18:25:50,4,,Aggregated,0.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4,0,7.14267300645588,7.432849501128658,7.14267300645588,7.765570000628941,278.25,1.5,0.1,
18:25:51,6,,Aggregated,2.0,0.0,8.0,8.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,9,0,8.0,8.00318655658177,3.9477890022681095,11.652601999230685,8265.666666666666,1.4,0.1,0.0
18:25:52,8,,Aggregated,2.0,0.0,7.0,8.0,8.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13,0,7.0,7.373300154890435,3.9477890022681095,11.652601999230685,11320.46153846154,1.4,0.1,0.0
18:25:53,10,,Aggregated,2.666667,0.0,7.0,7.0,8.0,8.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,21,0,7.0,6.4355645251149936,3.537829004926607,11.652601999230685,12245.809523809525,1.4,0.1,0.0
18:25:54,12,,Aggregated,2.666667,0.0,6.0,7.0,8.0,8.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,27,0,6.0,6.391104038037291,3.537829004926607,11.652601999230685,14907.925925925923,1.5,0.1,0.0
18:25:55,14,,Aggregated,3.25,0.0,6.0,7.0,8.0,8.0,8.0,12.0,12.0,12.0,12.0,12.0,12.0,33,0,6.0,6.225848031383728,3.537829004926607,11.652601999230685,15509.60606060606,1.4,0.1,0.0
18:25:56,16,,Aggregated,4.5,0.0,5.0,7.0,8.0,8.0,8.0,12.0,12.0,12.0,12.0,12.0,12.0,39,0,5.0,6.086452180357017,3.537829004926607,11.652601999230685,15007.384615384615,1.5,0.1,0.0
18:25:57,18,,Aggregated,4.714286,0.0,5.0,7.0,8.0,8.0,8.0,11.0,12.0,12.0,12.0,12.0,12.0,46,0,5.0,5.939056761195863,3.537829004926607,11.652601999230685,13545.152173913044,1.5,0.1,0.0
